EARTH RECEIVED TIME (UTC),SKY FREQUENCY (HZ)
2005-01-14T10:56:43.000,2040008516
2005-01-14T10:56:45.000,2040008515
2005-01-14T10:56:47.000,2040008515
2005-01-14T10:56:49.000,2040008514
2005-01-14T10:56:51.000,2040008514
2005-01-14T10:56:53.000,2040008514
2005-01-14T10:56:55.000,2040008512
2005-01-14T10:56:57.000,2040008512
2005-01-14T10:56:59.000,2040008511
2005-01-14T10:57:01.000,2040008511
2005-01-14T10:57:03.000,2040008510
2005-01-14T10:57:05.000,2040008510
2005-01-14T10:58:29.000,2040008487
2005-01-14T10:58:31.000,2040008487
2005-01-14T10:58:33.000,2040008486
2005-01-14T10:58:35.000,2040008486
2005-01-14T10:58:37.000,2040008487
2005-01-14T10:58:39.000,2040008487
2005-01-14T10:58:41.000,2040008486
2005-01-14T10:58:43.000,2040008486
2005-01-14T10:58:45.000,2040008485
2005-01-14T10:58:47.000,2040008485
2005-01-14T10:58:49.000,2040008484
